source_hero,vs_hero,block,vs_role,score,grade_raw
도미나,라마트라,상성,탱커,-2.0,
도미나,라인하르트,상성,탱커,-3.0,
도미나,로드호그,상성,탱커,-2.0,
도미나,시그마,상성,탱커,-2.0,
도미나,윈스턴,상성,탱커,-2.0,
도미나,레킹볼,상성,탱커,-2.5,
도미나,자리야,상성,탱커,1.0,
도미나,안란,상성,딜러,0.0,
도미나,애쉬,상성,딜러,0.0,
도미나,바스티온,상성,딜러,-2.0,
도미나,에코,상성,딜러,-2.0,
도미나,엠레,상성,딜러,0.0,
도미나,프레야,상성,딜러,-1.0,
도미나,겐지,상성,딜러,-2,매우 유리 (대인전) 불리 (팀파이트) [v1.5 팀전 값 채택]
도미나,한조,상성,딜러,-2.0,
도미나,정크랫,상성,딜러,-3.0,
도미나,메이,상성,딜러,2.0,
도미나,파라,상성,딜러,-2.0,
도미나,리퍼,상성,딜러,-3.0,
도미나,시온,상성,딜러,1.0,
도미나,시에라,상성,딜러,1.0,
도미나,소전,상성,딜러,-2.0,
도미나,솔저: 76,상성,딜러,0.0,
도미나,솜브라,상성,딜러,-2.0,
도미나,시메트라,상성,딜러,-3.0,
도미나,토르비욘,상성,딜러,0.0,
도미나,트레이서,상성,딜러,-2.0,
도미나,벤데타,상성,딜러,-3.0,
도미나,벤처,상성,딜러,-1.0,
도미나,위도우메이커,상성,딜러,2.0,
도미나,아나,상성,힐러,2.0,
도미나,바티스트,상성,힐러,0.0,
도미나,브리기테,상성,힐러,2.0,
도미나,일리아리,상성,힐러,2.0,
도미나,제트팩 캣,상성,힐러,-3.0,
도미나,주노,상성,힐러,1.0,
도미나,키리코,상성,힐러,-1.0,
도미나,라이프위버,상성,힐러,2.0,
도미나,루시우,상성,힐러,-2.0,
도미나,메르시,상성,힐러,0.0,
도미나,미즈키,상성,힐러,2.0,
도미나,모이라,상성,힐러,1.0,
도미나,우양,상성,힐러,0.0,
도미나,젠야타,상성,힐러,-3.0,
둠피스트,D.Mon,상성,탱커,0.0,
둠피스트,D.Va,상성,탱커,0.0,
둠피스트,도미나,상성,탱커,3.0,
둠피스트,해저드,상성,탱커,0.0,
둠피스트,정커퀸,상성,탱커,0.0,
둠피스트,마우가,상성,탱커,-3.0,
둠피스트,오리사,상성,탱커,-3.0,
둠피스트,라마트라,상성,탱커,1.0,
둠피스트,라인하르트,상성,탱커,0.0,
둠피스트,로드호그,상성,탱커,-3.0,
둠피스트,시그마,상성,탱커,0.0,
둠피스트,윈스턴,상성,탱커,2.0,
둠피스트,레킹볼,상성,탱커,1.0,
둠피스트,자리야,상성,탱커,1.0,
둠피스트,안란,상성,딜러,1.0,
둠피스트,애쉬,상성,딜러,0.0,
둠피스트,바스티온,상성,딜러,-0.5,
둠피스트,캐서디,상성,딜러,-1.0,
둠피스트,에코,상성,딜러,-3.0,
둠피스트,엠레,상성,딜러,2.0,
둠피스트,프레야,상성,딜러,-3.0,
둠피스트,겐지,상성,딜러,2.0,
둠피스트,한조,상성,딜러,0.0,
둠피스트,정크랫,상성,딜러,-2.0,
둠피스트,메이,상성,딜러,-1.0,
둠피스트,파라,상성,딜러,-3.0,
둠피스트,리퍼,상성,딜러,-2.0,
둠피스트,시온,상성,딜러,3.0,
둠피스트,시에라,상성,딜러,2.0,
둠피스트,소전,상성,딜러,1.0,
둠피스트,솔저: 76,상성,딜러,3.0,
둠피스트,솜브라,상성,딜러,-3.0,
둠피스트,시메트라,상성,딜러,1.0,
둠피스트,토르비욘,상성,딜러,-1.0,
둠피스트,트레이서,상성,딜러,0.0,
둠피스트,벤데타,상성,딜러,0.0,
둠피스트,벤처,상성,딜러,1.0,
둠피스트,위도우메이커,상성,딜러,3.0,
둠피스트,아나,상성,힐러,-3.0,
둠피스트,바티스트,상성,힐러,0.0,
둠피스트,브리기테,상성,힐러,0.0,
둠피스트,일리아리,상성,힐러,-1.0,
둠피스트,제트팩 캣,상성,힐러,0.0,
둠피스트,주노,상성,힐러,0.0,
둠피스트,키리코,상성,힐러,-1.0,
둠피스트,라이프위버,상성,힐러,-2.0,
둠피스트,루시우,상성,힐러,3.0,
둠피스트,메르시,상성,힐러,-2.0,
둠피스트,미즈키,상성,힐러,-3.0,
둠피스트,모이라,상성,힐러,0.0,
둠피스트,우양,상성,힐러,3.0,
둠피스트,젠야타,상성,힐러,-2.0,
해저드,D.Mon,상성,탱커,0.0,
해저드,D.Va,상성,탱커,-3.0,
해저드,도미나,상성,탱커,-1.0,
해저드,둠피스트,상성,탱커,0.0,
해저드,정커퀸,상성,탱커,-1.0,
해저드,마우가,상성,탱커,-2.0,
해저드,오리사,상성,탱커,-2.0,
해저드,라마트라,상성,탱커,0.0,
해저드,라인하르트,상성,탱커,-1.0,
해저드,로드호그,상성,탱커,-3.0,
해저드,시그마,상성,탱커,-1.0,
해저드,윈스턴,상성,탱커,1.0,
해저드,레킹볼,상성,탱커,0.0,
해저드,자리야,상성,탱커,-1.0,
해저드,안란,상성,딜러,1.0,
해저드,애쉬,상성,딜러,2.0,
해저드,바스티온,상성,딜러,-2.0,
해저드,캐서디,상성,딜러,1.0,
해저드,에코,상성,딜러,-3.0,
해저드,엠레,상성,딜러,3.0,
해저드,프레야,상성,딜러,-2.0,
해저드,겐지,상성,딜러,0.0,
해저드,한조,상성,딜러,3.0,
해저드,정크랫,상성,딜러,-2.0,
해저드,메이,상성,딜러,1.0,
해저드,파라,상성,딜러,-3.0,
해저드,리퍼,상성,딜러,-3.0,
해저드,시온,상성,딜러,2.0,
해저드,시에라,상성,딜러,1.0,
해저드,소전,상성,딜러,2.0,
해저드,솔저: 76,상성,딜러,3.0,
해저드,솜브라,상성,딜러,-2.0,
해저드,시메트라,상성,딜러,1.0,
해저드,토르비욘,상성,딜러,-2.0,
해저드,트레이서,상성,딜러,0.0,
해저드,벤데타,상성,딜러,1.0,
해저드,벤처,상성,딜러,2.0,
해저드,위도우메이커,상성,딜러,2.0,
해저드,아나,상성,힐러,0.0,
해저드,바티스트,상성,힐러,3.0,
해저드,브리기테,상성,힐러,-1.0,
해저드,일리아리,상성,힐러,2.0,
해저드,제트팩 캣,상성,힐러,-1.0,
해저드,주노,상성,힐러,3.0,
해저드,키리코,상성,힐러,2.0,
해저드,라이프위버,상성,힐러,-2.0,
해저드,루시우,상성,힐러,3.0,
해저드,메르시,상성,힐러,0.0,
해저드,미즈키,상성,힐러,-2.0,
해저드,모이라,상성,힐러,2.0,
해저드,우양,상성,힐러,2.0,
해저드,젠야타,상성,힐러,-2.0,
정커퀸,D.Mon,상성,탱커,2.0,
정커퀸,D.Va,상성,탱커,2.0,
정커퀸,도미나,상성,탱커,0.0,
정커퀸,둠피스트,상성,탱커,0.0,
정커퀸,해저드,상성,탱커,1.0,
정커퀸,마우가,상성,탱커,1.0,
정커퀸,오리사,상성,탱커,-2.0,
정커퀸,라마트라,상성,탱커,0.0,
정커퀸,라인하르트,상성,탱커,-1.0,
정커퀸,로드호그,상성,탱커,0.0,
정커퀸,시그마,상성,탱커,0.0,
정커퀸,윈스턴,상성,탱커,1.0,
정커퀸,레킹볼,상성,탱커,2.0,
정커퀸,자리야,상성,탱커,-3.0,
정커퀸,안란,상성,딜러,2.0,
정커퀸,애쉬,상성,딜러,-2.0,
정커퀸,바스티온,상성,딜러,2.0,
정커퀸,캐서디,상성,딜러,0.0,
정커퀸,에코,상성,딜러,-3.0,
정커퀸,엠레,상성,딜러,-2.0,
정커퀸,프레야,상성,딜러,-3.0,
정커퀸,겐지,상성,딜러,1.0,
정커퀸,한조,상성,딜러,-1.0,
정커퀸,정크랫,상성,딜러,-3.0,
정커퀸,메이,상성,딜러,-2.0,
정커퀸,파라,상성,딜러,-3.0,
정커퀸,리퍼,상성,딜러,0.0,
정커퀸,시온,상성,딜러,-1.0,
정커퀸,시에라,상성,딜러,-2.0,
정커퀸,소전,상성,딜러,-1.0,
정커퀸,솔저: 76,상성,딜러,-1.0,
정커퀸,솜브라,상성,딜러,-1.0,
정커퀸,시메트라,상성,딜러,3.0,
정커퀸,토르비욘,상성,딜러,0.0,
정커퀸,트레이서,상성,딜러,1.0,
정커퀸,벤데타,상성,딜러,0.0,
정커퀸,벤처,상성,딜러,1.0,
정커퀸,위도우메이커,상성,딜러,-3.0,
정커퀸,아나,상성,힐러,-2.0,
정커퀸,바티스트,상성,힐러,1.0,
정커퀸,브리기테,상성,힐러,0.0,
정커퀸,일리아리,상성,힐러,1.0,
정커퀸,제트팩 캣,상성,힐러,-3.0,
정커퀸,주노,상성,힐러,2.0,
정커퀸,키리코,상성,힐러,-3.0,
정커퀸,라이프위버,상성,힐러,2.0,
정커퀸,루시우,상성,힐러,-1.0,
정커퀸,메르시,상성,힐러,2.0,
정커퀸,미즈키,상성,힐러,2.0,
정커퀸,모이라,상성,힐러,3.0,
정커퀸,우양,상성,힐러,2.0,
정커퀸,젠야타,상성,힐러,2.0,
마우가,D.Mon,상성,탱커,3.0,
마우가,D.Va,상성,탱커,-2.0,
마우가,도미나,상성,탱커,2.0,
마우가,둠피스트,상성,탱커,3.0,
마우가,해저드,상성,탱커,2.0,
마우가,정커퀸,상성,탱커,-1.0,
마우가,오리사,상성,탱커,-1.0,
마우가,라마트라,상성,탱커,1.0,
마우가,라인하르트,상성,탱커,2.0,
마우가,로드호그,상성,탱커,1.0,
마우가,시그마,상성,탱커,-3.0,
마우가,윈스턴,상성,탱커,2.0,
마우가,레킹볼,상성,탱커,0.0,
마우가,자리야,상성,탱커,0.0,
마우가,안란,상성,딜러,2.0,
마우가,애쉬,상성,딜러,-2.0,
마우가,바스티온,상성,딜러,-1.0,
마우가,캐서디,상성,딜러,3.0,
마우가,에코,상성,딜러,0.0,
마우가,엠레,상성,딜러,-2.0,
마우가,프레야,상성,딜러,-2.0,
마우가,겐지,상성,딜러,-1.0,
마우가,한조,상성,딜러,-3.0,
마우가,정크랫,상성,딜러,-2.0,
마우가,메이,상성,딜러,0.0,
마우가,파라,상성,딜러,2.0,
마우가,리퍼,상성,딜러,0.0,
마우가,시온,상성,딜러,2.0,
마우가,시에라,상성,딜러,-2.0,
마우가,소전,상성,딜러,-2.0,
마우가,솔저: 76,상성,딜러,-2.0,
마우가,솜브라,상성,딜러,0.0,
마우가,시메트라,상성,딜러,-1.0,
마우가,토르비욘,상성,딜러,0.0,
마우가,트레이서,상성,딜러,0.0,
마우가,벤데타,상성,딜러,2.0,
마우가,벤처,상성,딜러,3.0,
마우가,위도우메이커,상성,딜러,-2.0,
마우가,아나,상성,힐러,-3.0,
마우가,바티스트,상성,힐러,-1.0,
마우가,브리기테,상성,힐러,0.0,
마우가,일리아리,상성,힐러,-1.0,
마우가,제트팩 캣,상성,힐러,2.0,
마우가,주노,상성,힐러,2.0,
마우가,키리코,상성,힐러,-1.0,
마우가,라이프위버,상성,힐러,0.0,
마우가,루시우,상성,힐러,3.0,
마우가,메르시,상성,힐러,2.0,
마우가,미즈키,상성,힐러,0.0,
마우가,모이라,상성,힐러,0.0,
마우가,우양,상성,힐러,-2,매우 유리 (1대1) 불리 (팀파이트) [v1.5 팀전 값 채택]
마우가,젠야타,상성,힐러,-2.0,
오리사,D.Mon,상성,탱커,0.0,
오리사,D.Va,상성,탱커,0.5,
오리사,도미나,상성,탱커,2.5,
오리사,둠피스트,상성,탱커,1.0,
오리사,해저드,상성,탱커,0.5,
오리사,정커퀸,상성,탱커,2.0,
오리사,마우가,상성,탱커,1.0,
오리사,라마트라,상성,탱커,0.5,
오리사,라인하르트,상성,탱커,3.0,
오리사,로드호그,상성,탱커,0.0,
오리사,시그마,상성,탱커,-0.5,
오리사,윈스턴,상성,탱커,-2.0,
오리사,레킹볼,상성,탱커,1.0,
오리사,자리야,상성,탱커,-1.5,
오리사,안란,상성,딜러,0.0,
오리사,애쉬,상성,딜러,1.0,
오리사,바스티온,상성,딜러,-2.5,
오리사,캐서디,상성,딜러,1.5,
오리사,에코,상성,딜러,-0.5,
오리사,엠레,상성,딜러,-2.0,
오리사,프레야,상성,딜러,0.5,
오리사,겐지,상성,딜러,-1.0,
오리사,한조,상성,딜러,-1.0,
오리사,정크랫,상성,딜러,-3.0,
오리사,메이,상성,딜러,2.5,
오리사,파라,상성,딜러,-2.5,
오리사,리퍼,상성,딜러,0.0,
오리사,시온,상성,딜러,2.0,
오리사,시에라,상성,딜러,0.0,
오리사,소전,상성,딜러,0.5,
오리사,솔저: 76,상성,딜러,0.5,
오리사,솜브라,상성,딜러,0.0,
오리사,시메트라,상성,딜러,-1.0,
오리사,토르비욘,상성,딜러,1.0,
오리사,트레이서,상성,딜러,-2.5,
오리사,벤데타,상성,딜러,0.0,
오리사,벤처,상성,딜러,-0.5,
오리사,위도우메이커,상성,딜러,0.0,
오리사,아나,상성,힐러,2.0,
오리사,바티스트,상성,힐러,0.0,
오리사,브리기테,상성,힐러,2.0,
오리사,일리아리,상성,힐러,0.0,
오리사,제트팩 캣,상성,힐러,2.0,
오리사,주노,상성,힐러,-2.0,
오리사,키리코,상성,힐러,-2.0,
오리사,라이프위버,상성,힐러,-2.0,
오리사,루시우,상성,힐러,-2.0,
오리사,메르시,상성,힐러,0.0,
오리사,미즈키,상성,힐러,2.0,
오리사,모이라,상성,힐러,-1.0,
오리사,우양,상성,힐러,-2.0,
오리사,젠야타,상성,힐러,-2.5,
라마트라,D.Mon,상성,탱커,0.5,
라마트라,D.Va,상성,탱커,2.0,
라마트라,도미나,상성,탱커,2.0,
라마트라,둠피스트,상성,탱커,-1.0,
라마트라,해저드,상성,탱커,0.0,
라마트라,정커퀸,상성,탱커,0.0,
라마트라,마우가,상성,탱커,-1.0,
라마트라,오리사,상성,탱커,-2.0,
라마트라,라인하르트,상성,탱커,2.0,
라마트라,로드호그,상성,탱커,-3.0,
라마트라,시그마,상성,탱커,0,유리 (대인전) 중립 (팀파이트) [v1.5 팀전 값 채택]
라마트라,윈스턴,상성,탱커,0.0,
라마트라,레킹볼,상성,탱커,-2.0,
라마트라,자리야,상성,탱커,2.0,
라마트라,안란,상성,딜러,2.0,
라마트라,애쉬,상성,딜러,0.0,
라마트라,바스티온,상성,딜러,0.0,
라마트라,캐서디,상성,딜러,2.0,
라마트라,에코,상성,딜러,-1.0,
라마트라,엠레,상성,딜러,-2.0,
라마트라,프레야,상성,딜러,0.0,
라마트라,겐지,상성,딜러,2.0,
라마트라,한조,상성,딜러,2.0,
라마트라,정크랫,상성,딜러,-2.0,
라마트라,메이,상성,딜러,-1.0,
라마트라,파라,상성,딜러,-1.5,
라마트라,리퍼,상성,딜러,-3.0,
라마트라,시온,상성,딜러,0.0,
라마트라,시에라,상성,딜러,2.0,
라마트라,소전,상성,딜러,1.0,
라마트라,솔저: 76,상성,딜러,-1.0,
라마트라,솜브라,상성,딜러,2.0,
라마트라,시메트라,상성,딜러,2.0,
라마트라,토르비욘,상성,딜러,2.0,
라마트라,트레이서,상성,딜러,-2.0,
라마트라,벤데타,상성,딜러,0.0,
라마트라,벤처,상성,딜러,2.0,
라마트라,위도우메이커,상성,딜러,0.0,
라마트라,아나,상성,힐러,-2.0,
라마트라,바티스트,상성,힐러,2.0,
라마트라,브리기테,상성,힐러,3.0,
라마트라,일리아리,상성,힐러,-2.0,
라마트라,제트팩 캣,상성,힐러,-2.0,
라마트라,주노,상성,힐러,0.0,
라마트라,키리코,상성,힐러,2.0,
라마트라,라이프위버,상성,힐러,-2.0,
라마트라,루시우,상성,힐러,-2.0,
라마트라,메르시,상성,힐러,2.0,
라마트라,미즈키,상성,힐러,0.0,
라마트라,모이라,상성,힐러,-2.0,
라마트라,우양,상성,힐러,-1.0,
라마트라,젠야타,상성,힐러,-2.0,
라인하르트,D.Mon,상성,탱커,0.0,
라인하르트,D.Va,상성,탱커,-1.0,
라인하르트,도미나,상성,탱커,3.0,
라인하르트,둠피스트,상성,탱커,0.0,
라인하르트,해저드,상성,탱커,1.0,
라인하르트,정커퀸,상성,탱커,1.0,
라인하르트,마우가,상성,탱커,-2.0,
라인하르트,오리사,상성,탱커,-3.0,
라인하르트,라마트라,상성,탱커,-2.0,
라인하르트,로드호그,상성,탱커,0.0,
라인하르트,시그마,상성,탱커,3.0,
라인하르트,윈스턴,상성,탱커,-2.0,
라인하르트,레킹볼,상성,탱커,-1.0,
라인하르트,자리야,상성,탱커,2.0,
라인하르트,안란,상성,딜러,0.0,
라인하르트,애쉬,상성,딜러,2.0,
라인하르트,바스티온,상성,딜러,-2.0,
라인하르트,캐서디,상성,딜러,-2.0,
라인하르트,에코,상성,딜러,-2.0,
라인하르트,엠레,상성,딜러,-2.0,
라인하르트,프레야,상성,딜러,-3.0,
라인하르트,겐지,상성,딜러,0.5,
라인하르트,한조,상성,딜러,-2.0,
라인하르트,정크랫,상성,딜러,-3.0,
라인하르트,메이,상성,딜러,-2.0,
라인하르트,파라,상성,딜러,-2.0,
라인하르트,리퍼,상성,딜러,-2.0,
라인하르트,시온,상성,딜러,-1.0,
라인하르트,시에라,상성,딜러,-2.0,
라인하르트,소전,상성,딜러,2.0,
라인하르트,솔저: 76,상성,딜러,0.0,
라인하르트,솜브라,상성,딜러,-1.0,
라인하르트,시메트라,상성,딜러,-1.0,
라인하르트,토르비욘,상성,딜러,0.0,
라인하르트,트레이서,상성,딜러,-2.0,
라인하르트,벤데타,상성,딜러,1.0,
라인하르트,벤처,상성,딜러,2.0,
라인하르트,위도우메이커,상성,딜러,2.0,
라인하르트,아나,상성,힐러,0.0,
라인하르트,바티스트,상성,힐러,0.0,
라인하르트,브리기테,상성,힐러,2.0,
라인하르트,일리아리,상성,힐러,0.0,
라인하르트,제트팩 캣,상성,힐러,-3.0,
라인하르트,주노,상성,힐러,0.0,
라인하르트,키리코,상성,힐러,0.0,
라인하르트,라이프위버,상성,힐러,-3.0,
라인하르트,루시우,상성,힐러,-2.0,
라인하르트,메르시,상성,힐러,0.0,
라인하르트,미즈키,상성,힐러,2.0,
라인하르트,모이라,상성,힐러,0.0,
라인하르트,우양,상성,힐러,-2.0,
라인하르트,젠야타,상성,힐러,-2.0,
로드호그,D.Mon,상성,탱커,2.0,
로드호그,D.Va,상성,탱커,0.0,
로드호그,도미나,상성,탱커,2.0,
로드호그,둠피스트,상성,탱커,3.0,
로드호그,해저드,상성,탱커,2.0,
로드호그,정커퀸,상성,탱커,0.0,
로드호그,마우가,상성,탱커,0,중립 (팀파이트) 불리 (대인전) [v1.5 팀전 값 채택]
로드호그,오리사,상성,탱커,-0.5,
로드호그,라마트라,상성,탱커,2.0,
로드호그,라인하르트,상성,탱커,0.5,
로드호그,시그마,상성,탱커,0.0,
로드호그,윈스턴,상성,탱커,2.0,
로드호그,레킹볼,상성,탱커,3.0,
로드호그,자리야,상성,탱커,0.0,
로드호그,안란,상성,딜러,3.0,
로드호그,애쉬,상성,딜러,0.0,
로드호그,바스티온,상성,딜러,0.0,
로드호그,캐서디,상성,딜러,2.0,
로드호그,에코,상성,딜러,1.0,
로드호그,엠레,상성,딜러,-2.0,
로드호그,프레야,상성,딜러,-2.0,
로드호그,겐지,상성,딜러,3.0,
로드호그,한조,상성,딜러,0.0,
로드호그,정크랫,상성,딜러,-1.0,
로드호그,메이,상성,딜러,0.5,
로드호그,파라,상성,딜러,-2.0,
로드호그,리퍼,상성,딜러,0.0,
로드호그,시온,상성,딜러,3.0,
로드호그,시에라,상성,딜러,-2.0,
로드호그,소전,상성,딜러,-2.0,
로드호그,솔저: 76,상성,딜러,-2.0,
로드호그,솜브라,상성,딜러,0.0,
로드호그,시메트라,상성,딜러,2.0,
로드호그,토르비욘,상성,딜러,2.0,
로드호그,트레이서,상성,딜러,1.5,
로드호그,벤데타,상성,딜러,3.0,
로드호그,벤처,상성,딜러,3.0,
로드호그,위도우메이커,상성,딜러,-2.0,
로드호그,아나,상성,힐러,-3.0,
로드호그,바티스트,상성,힐러,3.0,
로드호그,브리기테,상성,힐러,1.0,
로드호그,일리아리,상성,힐러,0.0,
로드호그,제트팩 캣,상성,힐러,-2.0,
로드호그,주노,상성,힐러,2.0,
로드호그,키리코,상성,힐러,2.0,
로드호그,라이프위버,상성,힐러,0.0,
로드호그,루시우,상성,힐러,3.0,
로드호그,메르시,상성,힐러,2.0,
로드호그,미즈키,상성,힐러,3.0,
로드호그,모이라,상성,힐러,3.0,
로드호그,우양,상성,힐러,2.0,
로드호그,젠야타,상성,힐러,-2.0,
시그마,D.Mon,상성,탱커,-3.0,
시그마,D.Va,상성,탱커,0.0,
시그마,도미나,상성,탱커,2.0,
시그마,둠피스트,상성,탱커,0.0,
시그마,해저드,상성,탱커,1.0,
시그마,정커퀸,상성,탱커,1.0,
시그마,마우가,상성,탱커,3.0,
시그마,오리사,상성,탱커,0.5,
시그마,라마트라,상성,탱커,-2.0,
시그마,라인하르트,상성,탱커,-3.0,
시그마,로드호그,상성,탱커,0.0,
시그마,윈스턴,상성,탱커,-3.0,
시그마,레킹볼,상성,탱커,0.0,
시그마,자리야,상성,탱커,2,불리 (대인전) 유리 (팀파이트) [v1.5 팀전 값 채택]
시그마,안란,상성,딜러,-2.0,
시그마,애쉬,상성,딜러,2.0,
시그마,바스티온,상성,딜러,1.0,
시그마,캐서디,상성,딜러,2.0,
시그마,에코,상성,딜러,-3.0,
시그마,엠레,상성,딜러,2.0,
시그마,프레야,상성,딜러,2.0,
시그마,겐지,상성,딜러,2.0,
시그마,한조,상성,딜러,0.0,
시그마,정크랫,상성,딜러,0.0,
시그마,메이,상성,딜러,0.0,
시그마,파라,상성,딜러,0.0,
시그마,리퍼,상성,딜러,0.5,
시그마,시온,상성,딜러,0.0,
시그마,시에라,상성,딜러,3.0,
시그마,소전,상성,딜러,1.0,
시그마,솔저: 76,상성,딜러,1.0,
시그마,솜브라,상성,딜러,-1.0,
시그마,시메트라,상성,딜러,-2.0,
시그마,토르비욘,상성,딜러,1.0,
시그마,트레이서,상성,딜러,-1.0,
시그마,벤데타,상성,딜러,0.0,
시그마,벤처,상성,딜러,0.5,
시그마,위도우메이커,상성,딜러,2.0,
시그마,아나,상성,힐러,2.0,
시그마,바티스트,상성,힐러,0.0,
시그마,브리기테,상성,힐러,0.0,
시그마,일리아리,상성,힐러,2.0,
시그마,제트팩 캣,상성,힐러,-2.0,
시그마,주노,상성,힐러,-2.0,
시그마,키리코,상성,힐러,0.0,
시그마,라이프위버,상성,힐러,-2.0,
시그마,루시우,상성,힐러,-2.0,
시그마,메르시,상성,힐러,1.0,
시그마,미즈키,상성,힐러,2.0,
시그마,모이라,상성,힐러,-2.0,
시그마,우양,상성,힐러,-2.0,
시그마,젠야타,상성,힐러,2.0,
윈스턴,D.Mon,상성,탱커,-3.0,
윈스턴,D.Va,상성,탱커,-2.0,
